thread,hour,raised_by,first_responder,ack_minutes
ESC-0054,2,clinical_coordinator,director_clinical_ops,64
ESC-0055,3,clinical_coordinator,director_clinical_ops,37
ESC-0056,10,clinical_coordinator,on_call_supervisor,34
ESC-0057,22,clinical_coordinator,director_clinical_ops,25
ESC-0058,3,clinical_coordinator,director_clinical_ops,34
ESC-0059,23,clinical_coordinator,director_clinical_ops,35
ESC-0060,3,clinical_coordinator,on_call_supervisor,30
ESC-0061,22,clinical_coordinator,director_clinical_ops,37
ESC-0062,3,clinical_coordinator,director_clinical_ops,26
ESC-0063,10,clinical_coordinator,house_coordinator,32
ESC-0064,11,clinical_coordinator,house_coordinator,17
ESC-0065,22,clinical_coordinator,director_clinical_ops,24
ESC-0066,22,clinical_coordinator,director_clinical_ops,29
ESC-0067,1,clinical_coordinator,on_call_supervisor,28
ESC-0068,14,clinical_coordinator,on_call_supervisor,26
ESC-0069,1,clinical_coordinator,director_clinical_ops,41
ESC-0070,3,clinical_coordinator,director_clinical_ops,23
ESC-0071,4,clinical_coordinator,director_clinical_ops,20
ESC-0072,22,clinical_coordinator,director_clinical_ops,30
ESC-0073,1,clinical_coordinator,director_clinical_ops,42
ESC-0074,10,clinical_coordinator,on_call_supervisor,27
ESC-0075,2,clinical_coordinator,director_clinical_ops,47
ESC-0076,1,clinical_coordinator,director_clinical_ops,44
ESC-0077,14,clinical_coordinator,on_call_supervisor,44
ESC-0078,2,clinical_coordinator,director_clinical_ops,24
ESC-0079,3,clinical_coordinator,director_clinical_ops,62
ESC-0080,22,clinical_coordinator,director_clinical_ops,45
ESC-0081,11,clinical_coordinator,on_call_supervisor,38
ESC-0082,22,clinical_coordinator,director_clinical_ops,35
ESC-0083,10,clinical_coordinator,on_call_supervisor,22
ESC-0084,3,clinical_coordinator,director_clinical_ops,23
ESC-0085,3,clinical_coordinator,director_clinical_ops,35
ESC-0086,1,clinical_coordinator,director_clinical_ops,34
ESC-0087,15,clinical_coordinator,house_coordinator,41
ESC-0088,4,clinical_coordinator,director_clinical_ops,30
ESC-0089,4,clinical_coordinator,director_clinical_ops,48
ESC-0090,15,clinical_coordinator,on_call_supervisor,21
ESC-0091,15,clinical_coordinator,on_call_supervisor,52
ESC-0092,23,clinical_coordinator,director_clinical_ops,35
ESC-0093,4,clinical_coordinator,director_clinical_ops,32
ESC-0094,14,clinical_coordinator,house_coordinator,33
ESC-0095,4,clinical_coordinator,director_clinical_ops,34
ESC-0096,22,clinical_coordinator,director_clinical_ops,27
ESC-0097,23,clinical_coordinator,director_clinical_ops,31
ESC-0098,10,clinical_coordinator,house_coordinator,44
ESC-0099,23,clinical_coordinator,director_clinical_ops,30
ESC-0100,1,clinical_coordinator,director_clinical_ops,38
ESC-0101,11,clinical_coordinator,on_call_supervisor,25
ESC-0102,4,clinical_coordinator,on_call_supervisor,48
ESC-0103,23,clinical_coordinator,director_clinical_ops,58
ESC-0104,2,clinical_coordinator,director_clinical_ops,52
ESC-0105,3,clinical_coordinator,on_call_supervisor,29
ESC-0106,15,clinical_coordinator,on_call_supervisor,44
ESC-0107,2,clinical_coordinator,on_call_supervisor,46
ESC-0108,15,clinical_coordinator,house_coordinator,37
ESC-0109,23,clinical_coordinator,director_clinical_ops,28
ESC-0110,23,clinical_coordinator,director_clinical_ops,40
ESC-0111,14,clinical_coordinator,on_call_supervisor,55
ESC-0112,2,clinical_coordinator,director_clinical_ops,24
ESC-0113,15,clinical_coordinator,on_call_supervisor,25
ESC-0114,14,clinical_coordinator,on_call_supervisor,42
ESC-0115,10,clinical_coordinator,on_call_supervisor,28
ESC-0116,3,clinical_coordinator,director_clinical_ops,36
ESC-0117,10,clinical_coordinator,house_coordinator,48
ESC-0118,23,clinical_coordinator,director_clinical_ops,36
ESC-0119,11,clinical_coordinator,on_call_supervisor,43
ESC-0120,15,clinical_coordinator,house_coordinator,25
ESC-0121,4,clinical_coordinator,on_call_supervisor,32
ESC-0122,23,clinical_coordinator,director_clinical_ops,44
ESC-0123,22,clinical_coordinator,director_clinical_ops,31
ESC-0124,22,clinical_coordinator,director_clinical_ops,31
ESC-0125,4,clinical_coordinator,director_clinical_ops,42
ESC-0126,10,clinical_coordinator,on_call_supervisor,32
ESC-0127,10,clinical_coordinator,house_coordinator,45
ESC-0128,10,clinical_coordinator,house_coordinator,23
ESC-0129,4,clinical_coordinator,director_clinical_ops,46
ESC-0130,11,clinical_coordinator,house_coordinator,26
ESC-0131,14,clinical_coordinator,house_coordinator,67
ESC-0132,1,clinical_coordinator,on_call_supervisor,47
ESC-0133,23,clinical_coordinator,director_clinical_ops,38
ESC-0134,10,clinical_coordinator,on_call_supervisor,38
ESC-0135,11,clinical_coordinator,house_coordinator,26
ESC-0136,3,clinical_coordinator,director_clinical_ops,38
ESC-0137,23,clinical_coordinator,director_clinical_ops,34
ESC-0138,1,clinical_coordinator,director_clinical_ops,23
ESC-0139,4,clinical_coordinator,director_clinical_ops,54
