referral_id,hospital,arrived_hour,after_hours,first_contact_no_answer,minutes_to_second_contact,worked_by,progressed,minutes_stalled_before_closed
R-0062,H-1207,10,0,1,5,,0,57
R-0063,H-1102,9,0,1,9,,1,
R-0064,H-1207,22,0,0,,,0,61
R-0065,H-1355,23,0,0,,,0,44
R-0066,H-1102,22,1,0,,house_coordinator,1,
R-0067,H-1490,3,0,0,,,1,
R-0068,H-1207,7,0,1,4,,0,65
R-0069,H-1355,21,1,0,,house_coordinator,1,
R-0070,H-1102,22,0,0,,,1,
R-0071,H-1490,9,0,0,,,1,
R-0072,H-1102,16,1,0,,house_coordinator,1,
R-0073,H-1207,16,0,0,,,0,123
R-0074,H-1102,13,0,0,,,1,
R-0075,H-1102,20,1,0,,house_coordinator,0,68
R-0076,H-1102,3,0,1,9,,0,48
R-0077,H-1102,4,0,0,,,0,103
R-0078,H-1102,0,0,0,,,1,
R-0079,H-1102,7,1,0,,house_coordinator,0,116
R-0080,H-1207,2,1,1,5,house_coordinator,0,45
R-0081,H-1207,0,1,1,7,house_coordinator,1,
R-0082,H-1102,19,1,0,,house_coordinator,0,72
R-0083,H-1102,3,1,0,,house_coordinator,0,130
R-0084,H-1490,19,1,0,,house_coordinator,0,120
R-0085,H-1207,7,0,0,,,1,
R-0086,H-1102,10,0,0,,,0,134
R-0087,H-1355,21,0,1,11,,0,84
R-0088,H-1490,18,0,0,,,0,112
R-0089,H-1102,15,0,0,,,1,
R-0090,H-1207,5,0,0,,,1,
R-0091,H-1102,18,1,1,10,house_coordinator,0,64
R-0092,H-1207,18,0,1,5,,1,
R-0093,H-1207,6,0,1,5,,0,191
R-0094,H-1102,8,1,0,,house_coordinator,1,
R-0095,H-1102,18,0,1,10,,0,127
R-0096,H-1102,15,1,0,,on_call_supervisor,0,99
R-0097,H-1102,5,0,0,,,0,97
R-0098,H-1207,16,0,0,,,0,115
R-0099,H-1207,15,1,0,,house_coordinator,0,79
R-0100,H-1355,2,0,0,,,0,45
R-0101,H-1490,9,1,0,,house_coordinator,0,87
R-0102,H-1207,11,1,0,,house_coordinator,0,83
R-0103,H-1102,9,1,1,7,house_coordinator,1,
R-0104,H-1207,18,0,1,7,,0,80
R-0105,H-1207,21,1,1,28,house_coordinator,0,85
R-0106,H-1490,13,1,0,,on_call_supervisor,1,
R-0107,H-1207,6,1,0,,house_coordinator,1,
R-0108,H-1207,12,0,0,,,0,84
R-0109,H-1355,4,1,0,,house_coordinator,1,
R-0110,H-1102,6,1,0,,house_coordinator,0,99
R-0111,H-1207,17,0,0,,,0,38
R-0112,H-1490,12,1,0,,on_call_supervisor,0,111
R-0113,H-1102,9,0,1,10,,1,
R-0114,H-1207,11,1,0,,house_coordinator,1,
R-0115,H-1102,8,0,0,,,0,78
R-0116,H-1207,11,0,0,,,0,52
R-0117,H-1102,23,1,0,,house_coordinator,0,51
R-0118,H-1490,23,1,0,,house_coordinator,0,109
R-0119,H-1102,11,1,0,,house_coordinator,0,147
R-0120,H-1355,5,1,0,,house_coordinator,0,78
R-0121,H-1102,20,1,1,7,house_coordinator,0,56
R-0122,H-1207,21,0,0,,,0,571
R-0123,H-1490,2,1,0,,house_coordinator,0,71
R-0124,H-1102,18,1,0,,on_call_supervisor,0,81
R-0125,H-1102,4,1,1,4,house_coordinator,1,
R-0126,H-1207,6,0,0,,,0,70
R-0127,H-1102,21,1,0,,house_coordinator,0,70
R-0128,H-1207,12,0,0,,,0,91
R-0129,H-1355,17,0,0,,,1,
R-0130,H-1102,4,1,0,,house_coordinator,1,
R-0131,H-1355,5,1,0,,house_coordinator,0,164
R-0132,H-1207,6,0,0,,,1,
R-0133,H-1355,5,0,0,,,0,97
R-0134,H-1490,10,1,1,6,house_coordinator,0,161
R-0135,H-1102,1,1,1,12,house_coordinator,0,107
R-0136,H-1490,8,0,0,,,0,61
R-0137,H-1355,23,1,0,,on_call_supervisor,1,
R-0138,H-1102,17,0,0,,,1,
R-0139,H-1355,0,0,0,,,0,95
R-0140,H-1207,17,0,0,,,1,
R-0141,H-1102,5,0,1,4,,0,128
R-0142,H-1207,4,1,1,4,house_coordinator,1,
R-0143,H-1207,15,0,0,,,0,81
R-0144,H-1207,0,1,0,,house_coordinator,1,
R-0145,H-1102,12,1,1,11,house_coordinator,1,
R-0146,H-1207,8,1,1,5,house_coordinator,0,83
R-0147,H-1355,4,1,0,,on_call_supervisor,0,49
R-0148,H-1355,1,0,0,,,0,154
R-0149,H-1102,11,0,0,,,1,
R-0150,H-1207,23,1,0,,house_coordinator,0,264
R-0151,H-1207,6,1,0,,house_coordinator,1,
R-0152,H-1207,6,0,0,,,0,79
R-0153,H-1207,9,1,0,,house_coordinator,0,97
R-0154,H-1490,12,0,1,11,,1,
R-0155,H-1102,1,1,0,,on_call_supervisor,0,100
R-0156,H-1490,16,0,0,,,0,75
R-0157,H-1207,19,0,0,,,0,91
R-0158,H-1355,5,1,1,8,house_coordinator,1,
R-0159,H-1355,21,0,0,,,0,122
R-0160,H-1490,8,0,1,12,,0,25
R-0161,H-1490,23,0,0,,,0,54
R-0162,H-1207,1,1,1,8,house_coordinator,1,
R-0163,H-1102,8,1,1,9,house_coordinator,1,
R-0164,H-1102,22,1,0,,house_coordinator,0,109
R-0165,H-1102,7,1,0,,house_coordinator,0,269
R-0166,H-1207,22,0,0,,,0,31
R-0167,H-1207,12,0,0,,,1,
R-0168,H-1102,5,0,1,7,,0,95
R-0169,H-1102,11,0,0,,,0,54
R-0170,H-1102,12,0,0,,,1,
R-0171,H-1355,2,0,0,,,1,
R-0172,H-1102,21,1,1,11,house_coordinator,0,218
R-0173,H-1490,11,1,1,6,on_call_supervisor,1,
R-0174,H-1102,16,0,1,4,,0,97
R-0175,H-1490,20,0,1,19,,0,268
R-0176,H-1102,21,1,1,9,house_coordinator,1,
R-0177,H-1102,4,1,0,,house_coordinator,0,180
R-0178,H-1102,12,1,1,6,house_coordinator,0,60
R-0179,H-1207,12,0,0,,,0,65
R-0180,H-1207,16,1,0,,house_coordinator,0,414
R-0181,H-1490,6,0,1,6,,0,151
R-0182,H-1102,17,0,0,,,0,63
R-0183,H-1207,21,1,0,,house_coordinator,1,
R-0184,H-1355,3,1,0,,house_coordinator,1,
R-0185,H-1102,10,0,0,,,0,98
R-0186,H-1102,10,0,0,,,0,95
R-0187,H-1207,15,0,0,,,0,129
R-0188,H-1207,13,0,0,,,0,114
R-0189,H-1102,7,0,0,,,0,223
R-0190,H-1102,10,0,0,,,0,315
R-0191,H-1207,4,1,1,7,house_coordinator,0,73
R-0192,H-1102,21,1,0,,house_coordinator,1,
R-0193,H-1207,14,1,0,,house_coordinator,1,
R-0194,H-1207,18,0,0,,,0,58
R-0195,H-1355,21,1,0,,house_coordinator,0,55
R-0196,H-1490,3,1,0,,house_coordinator,0,65
R-0197,H-1355,9,0,0,,,0,35
R-0198,H-1207,16,0,0,,,0,50
R-0199,H-1102,16,1,1,7,house_coordinator,0,74
R-0200,H-1207,21,1,1,4,on_call_supervisor,0,73
R-0201,H-1490,3,1,0,,house_coordinator,1,
R-0202,H-1102,4,0,0,,,0,65
R-0203,H-1102,20,1,1,3,house_coordinator,0,179
R-0204,H-1355,0,1,1,11,house_coordinator,1,
R-0205,H-1102,9,1,0,,house_coordinator,0,156
R-0206,H-1102,2,1,0,,house_coordinator,0,96
R-0207,H-1207,20,0,0,,,1,
R-0208,H-1102,3,1,0,,house_coordinator,0,183
R-0209,H-1490,13,1,1,9,house_coordinator,0,54
R-0210,H-1207,0,0,0,,,0,56
R-0211,H-1102,8,1,0,,house_coordinator,0,70
R-0212,H-1207,8,0,0,,,1,
R-0213,H-1102,8,0,0,,,1,
R-0214,H-1102,3,1,1,8,house_coordinator,0,34
R-0215,H-1207,0,1,0,,house_coordinator,1,
R-0216,H-1102,15,0,0,,,1,
R-0217,H-1102,19,1,0,,house_coordinator,0,146
R-0218,H-1207,19,0,0,,,1,
R-0219,H-1102,23,0,0,,,0,68
R-0220,H-1102,9,1,1,4,house_coordinator,0,150
R-0221,H-1490,2,0,0,,,0,126
R-0222,H-1490,10,0,1,5,,0,84
R-0223,H-1490,16,1,1,8,house_coordinator,1,
R-0224,H-1355,21,0,0,,,0,35
R-0225,H-1102,8,1,0,,house_coordinator,0,129
R-0226,H-1207,9,0,0,,,1,
R-0227,H-1102,10,0,1,12,,1,
R-0228,H-1102,20,0,1,8,,1,
R-0229,H-1355,0,0,0,,,0,113
R-0230,H-1490,9,1,0,,house_coordinator,0,82
R-0231,H-1355,17,1,1,10,house_coordinator,0,68
R-0232,H-1355,23,1,0,,house_coordinator,0,76
R-0233,H-1207,20,1,1,8,house_coordinator,0,557
R-0234,H-1490,7,0,0,,,0,134
R-0235,H-1490,7,0,0,,,0,78
R-0236,H-1102,16,1,0,,house_coordinator,1,
R-0237,H-1490,9,0,0,,,1,
R-0238,H-1490,3,0,0,,,1,
R-0239,H-1102,6,1,0,,house_coordinator,0,138
R-0240,H-1490,0,1,0,,house_coordinator,0,163
R-0241,H-1102,22,1,0,,house_coordinator,1,
R-0242,H-1102,1,0,1,13,,0,203
R-0243,H-1207,7,1,1,10,house_coordinator,0,57
R-0244,H-1490,11,1,0,,house_coordinator,0,187
R-0245,H-1207,5,1,0,,house_coordinator,1,
R-0246,H-1207,1,1,0,,house_coordinator,1,
R-0247,H-1102,13,1,1,5,house_coordinator,1,
R-0248,H-1490,17,0,1,3,,0,133
R-0249,H-1490,7,0,0,,,0,68
R-0250,H-1102,7,0,1,10,,0,82
R-0251,H-1355,5,0,1,8,,0,188
R-0252,H-1102,5,1,0,,house_coordinator,0,43
R-0253,H-1207,9,0,0,,,1,
R-0254,H-1355,0,0,1,8,,1,
R-0255,H-1102,4,1,0,,house_coordinator,0,82
R-0256,H-1102,7,1,0,,house_coordinator,0,139
R-0257,H-1102,10,1,1,6,house_coordinator,1,
R-0258,H-1207,12,0,0,,,0,57
R-0259,H-1355,19,1,0,,house_coordinator,1,
R-0260,H-1490,9,1,0,,house_coordinator,0,144
R-0261,H-1102,7,1,1,9,house_coordinator,1,
R-0262,H-1490,7,1,0,,house_coordinator,0,56
R-0263,H-1490,21,0,1,7,,0,36
R-0264,H-1102,12,1,0,,on_call_supervisor,0,51
R-0265,H-1102,8,0,1,5,,0,180
R-0266,H-1207,12,0,1,5,,0,157
R-0267,H-1102,15,1,0,,house_coordinator,1,
R-0268,H-1207,14,0,1,11,,0,167
R-0269,H-1102,22,0,0,,,0,33
R-0270,H-1207,1,0,1,7,,0,62
R-0271,H-1207,4,0,0,,,0,72
R-0272,H-1207,0,0,0,,,0,73
R-0273,H-1355,10,1,1,7,house_coordinator,0,84
R-0274,H-1355,8,1,0,,house_coordinator,1,
R-0275,H-1207,7,0,0,,,0,84
R-0276,H-1102,2,1,1,9,house_coordinator,0,71
R-0277,H-1207,1,1,0,,house_coordinator,0,155
R-0278,H-1355,16,0,1,5,,1,
R-0279,H-1102,21,1,0,,house_coordinator,0,88
R-0280,H-1102,13,1,0,,house_coordinator,1,
R-0281,H-1355,21,1,0,,house_coordinator,0,126
R-0282,H-1102,0,1,0,,house_coordinator,0,303
R-0283,H-1207,12,0,0,,,0,109
R-0284,H-1207,21,1,1,10,house_coordinator,0,127
R-0285,H-1102,5,0,0,,,1,
R-0286,H-1355,13,1,1,7,house_coordinator,0,45
R-0287,H-1490,10,1,1,10,house_coordinator,0,59
R-0288,H-1102,8,0,0,,,0,294
R-0289,H-1207,5,0,0,,,0,76
R-0290,H-1102,23,0,0,,,1,
R-0291,H-1355,2,0,1,7,,0,91
R-0292,H-1490,23,1,0,,house_coordinator,1,
R-0293,H-1207,4,1,0,,house_coordinator,0,81
R-0294,H-1490,22,0,0,,,1,
R-0295,H-1207,22,0,1,3,,0,86
R-0296,H-1490,21,0,0,,,0,85
R-0297,H-1102,11,1,0,,house_coordinator,0,55
R-0298,H-1102,15,1,0,,house_coordinator,1,
R-0299,H-1490,12,1,0,,house_coordinator,0,161
R-0300,H-1207,2,0,0,,,0,38
R-0301,H-1490,16,0,0,,,0,195
R-0302,H-1207,20,1,1,6,house_coordinator,1,
R-0303,H-1490,6,1,1,8,house_coordinator,0,83
R-0304,H-1102,22,0,0,,,1,
R-0305,H-1490,13,0,0,,,0,88
R-0306,H-1207,19,0,0,,,0,166
R-0307,H-1102,3,1,0,,house_coordinator,1,
R-0308,H-1490,13,0,1,8,,1,
R-0309,H-1102,12,0,0,,,0,230
R-0310,H-1490,11,1,0,,house_coordinator,1,
R-0311,H-1207,2,1,0,,house_coordinator,1,
R-0312,H-1490,21,0,0,,,0,76
R-0313,H-1102,20,0,1,4,,0,165
R-0314,H-1207,17,1,0,,house_coordinator,0,62
R-0315,H-1490,19,0,0,,,0,59
R-0316,H-1102,11,1,1,7,house_coordinator,0,49
R-0317,H-1102,6,0,0,,,0,72
R-0318,H-1102,3,1,1,9,house_coordinator,0,221
R-0319,H-1355,15,0,0,,,0,188
R-0320,H-1207,22,1,1,9,house_coordinator,1,
R-0321,H-1207,15,1,0,,house_coordinator,1,
R-0322,H-1355,23,0,0,,,1,
R-0323,H-1102,22,0,0,,,0,127
R-0324,H-1102,16,0,0,,,1,
R-0325,H-1207,20,1,0,,house_coordinator,0,51
R-0326,H-1355,22,0,0,,,0,76
R-0327,H-1490,19,0,0,,,1,
R-0328,H-1207,6,0,0,,,0,85
R-0329,H-1102,21,0,0,,,1,
R-0330,H-1207,9,0,0,,,1,
R-0331,H-1102,3,0,1,19,,0,155
R-0332,H-1207,11,0,0,,,1,
R-0333,H-1102,6,0,0,,,1,
R-0334,H-1207,21,0,1,9,,0,108
R-0335,H-1102,13,0,0,,,1,
R-0336,H-1102,15,0,1,6,,1,
R-0337,H-1355,22,0,0,,,0,275
R-0338,H-1207,15,1,0,,house_coordinator,0,68
R-0339,H-1207,14,1,1,11,house_coordinator,1,
R-0340,H-1102,2,0,0,,,0,38
R-0341,H-1355,22,0,1,6,,0,82
R-0342,H-1490,5,1,0,,house_coordinator,1,
R-0343,H-1102,11,0,1,13,,1,
R-0344,H-1102,7,0,1,5,,0,96
R-0345,H-1355,21,0,1,4,,0,176
R-0346,H-1102,19,1,1,5,house_coordinator,0,59
R-0347,H-1490,7,0,0,,,0,114
R-0348,H-1207,10,0,0,,,1,
R-0349,H-1102,5,1,0,,house_coordinator,0,65
R-0350,H-1102,18,1,1,4,house_coordinator,1,
R-0351,H-1355,0,1,0,,house_coordinator,0,49
R-0352,H-1355,6,0,0,,,0,47
R-0353,H-1102,6,0,0,,,0,99
R-0354,H-1102,21,0,0,,,0,60
R-0355,H-1490,2,0,0,,,0,53
R-0356,H-1207,21,1,1,9,house_coordinator,1,
R-0357,H-1355,23,1,0,,house_coordinator,0,73
R-0358,H-1490,0,1,1,10,house_coordinator,1,
R-0359,H-1102,0,1,1,5,house_coordinator,1,
R-0360,H-1102,17,1,0,,house_coordinator,0,313
R-0361,H-1207,9,0,1,10,,0,87
R-0362,H-1490,3,1,0,,on_call_supervisor,0,110
R-0363,H-1102,10,0,0,,,0,74
R-0364,H-1102,18,1,0,,house_coordinator,0,62
R-0365,H-1102,10,1,0,,house_coordinator,0,206
R-0366,H-1355,6,0,0,,,0,155
R-0367,H-1355,2,0,1,6,,0,95
R-0368,H-1490,14,0,0,,,0,79
R-0369,H-1355,1,1,1,13,house_coordinator,1,
R-0370,H-1102,1,0,1,9,,0,174
R-0371,H-1102,2,0,0,,,0,99
R-0372,H-1102,5,0,1,4,,0,123
R-0373,H-1102,12,0,1,5,,0,90
R-0374,H-1102,18,1,1,7,house_coordinator,0,89
R-0375,H-1207,3,0,0,,,1,
R-0376,H-1207,13,1,0,,house_coordinator,1,
R-0377,H-1102,13,0,0,,,0,96
R-0378,H-1102,4,1,1,7,house_coordinator,0,64
R-0379,H-1490,9,1,0,,house_coordinator,0,42
R-0380,H-1490,7,0,0,,,1,
R-0381,H-1355,15,1,0,,house_coordinator,1,
R-0382,H-1355,16,1,1,9,house_coordinator,0,289
R-0383,H-1102,0,0,0,,,0,34
R-0384,H-1490,15,0,0,,,0,29
R-0385,H-1490,1,1,0,,house_coordinator,1,
R-0386,H-1102,13,0,0,,,0,98
R-0387,H-1490,3,1,0,,house_coordinator,1,
R-0388,H-1207,1,0,0,,,0,45
R-0389,H-1207,10,1,0,,house_coordinator,0,94
R-0390,H-1355,19,0,0,,,0,61
R-0391,H-1102,13,0,0,,,0,101
R-0392,H-1102,21,0,1,16,,0,108
R-0393,H-1355,17,0,0,,,0,107
R-0394,H-1207,19,1,0,,house_coordinator,1,
R-0395,H-1102,3,1,1,12,house_coordinator,1,
R-0396,H-1102,1,1,1,7,house_coordinator,0,134
R-0397,H-1207,1,0,0,,,1,
R-0398,H-1355,13,1,1,10,house_coordinator,0,139
R-0399,H-1102,9,0,0,,,0,90
R-0400,H-1490,0,0,1,5,,0,144
R-0401,H-1207,14,1,0,,house_coordinator,1,
R-0402,H-1207,21,0,0,,,0,40
R-0403,H-1207,12,1,0,,house_coordinator,0,149
R-0404,H-1102,16,0,0,,,0,201
R-0405,H-1102,7,0,0,,,0,370
R-0406,H-1102,23,0,0,,,1,
R-0407,H-1102,12,1,1,9,on_call_supervisor,0,109
R-0408,H-1102,22,0,0,,,1,
R-0409,H-1207,3,0,0,,,1,
R-0410,H-1490,10,1,0,,on_call_supervisor,0,66
R-0411,H-1102,5,0,0,,,0,100
R-0412,H-1102,6,0,0,,,0,206
R-0413,H-1355,6,0,0,,,0,114
R-0414,H-1490,19,0,0,,,0,96
R-0415,H-1355,0,1,1,8,house_coordinator,1,
R-0416,H-1102,13,1,0,,house_coordinator,1,
R-0417,H-1102,21,0,0,,,0,99
R-0418,H-1355,12,0,0,,,0,97
R-0419,H-1102,19,1,1,6,house_coordinator,1,
R-0420,H-1102,12,0,0,,,0,150
